iter	Logloss
0	0.6090707148
1	0.5454482838
2	0.4987385035
3	0.4619731795
4	0.4349372009
5	0.4124693944
6	0.3961317721
7	0.3831448832
8	0.3718302226
9	0.3636581927
10	0.3569110881
11	0.3512055371
12	0.3468612943
13	0.3428593901
14	0.3401818648
15	0.3378982297
16	0.3356811653
17	0.3339769308
18	0.3327743294
19	0.331155346
20	0.3300536315
21	0.3289338754
22	0.3280461447
23	0.3272398842
24	0.3265079315
25	0.3259677461
26	0.3255141743
27	0.3251419565
28	0.3247742718
29	0.3243469721
30	0.3240443143
31	0.3236600301
32	0.3233800934
33	0.323150222
34	0.322993128
35	0.3227663577
36	0.3225976173
37	0.3223861999
38	0.3222176571
39	0.3219555967
40	0.3217981127
41	0.3216576049
42	0.3214958127
43	0.3213752968
44	0.3212753923
45	0.3211337658
46	0.3210198942
47	0.3208554932
48	0.3207305205
49	0.3206104665
50	0.3204934197
51	0.3204064165
52	0.3203017017
53	0.3202127953
54	0.3201353703
55	0.3200285086
56	0.3199343254
57	0.3198532935
58	0.319772504
59	0.3196961551
60	0.319633923
61	0.3195658494
62	0.3195020656
63	0.3194261658
64	0.3193604358
65	0.3192864195
66	0.319225935
67	0.319167004
68	0.3191036556
69	0.3190526089
70	0.3190039004
71	0.3189412619
72	0.3188952756
73	0.3188445872
74	0.3188004981
75	0.3187446131
76	0.3186744153
77	0.3186064623
78	0.3185460371
79	0.3184948884
80	0.3184363741
81	0.3183926118
82	0.3183466231
83	0.3182838434
84	0.3182488159
85	0.3182111262
86	0.3181569914
87	0.3181191847
88	0.3180613931
89	0.3180171819
90	0.3179721476
91	0.3179377687
92	0.3179003303
93	0.3178528004
94	0.3178056175
95	0.317766006
96	0.3177299319
97	0.317705647
98	0.3176689007
99	0.3176248901
100	0.3175942861
101	0.3175585369
102	0.3175236294
103	0.317474625
104	0.3174330588
105	0.317380704
106	0.3173407178
107	0.3172846579
108	0.3172427537
109	0.3171902333
110	0.3171541383
111	0.3171206816
112	0.3170552685
113	0.3170226171
114	0.3169626659
115	0.3169396864
116	0.3169141553
117	0.3168716809
118	0.3168148294
119	0.3167845819
120	0.3167499183
121	0.316701883
122	0.3166581954
123	0.3166161273
124	0.3165754237
125	0.3165336577
126	0.3165043287
127	0.3164605916
128	0.3164308259
129	0.3163872505
130	0.3163584226
131	0.3163192056
132	0.3162848646
133	0.3162480774
134	0.3162087977
135	0.3161602909
136	0.3161251605
137	0.3160703209
138	0.3160255294
139	0.3159835334
140	0.315941633
141	0.3158973473
142	0.3158646428
143	0.315819278
144	0.3157895383
145	0.3157504893
146	0.3157163783
147	0.3156748739
148	0.3156258582
149	0.3155903973
150	0.3155544565
151	0.3155099032
152	0.3154723918
153	0.3154305262
154	0.3153964499
155	0.3153576889
156	0.3153186631
157	0.3152819898
158	0.3152322185
159	0.3151993687
160	0.3151639667
161	0.3151261198
162	0.3150903327
163	0.3150402229
164	0.315002901
165	0.3149525074
166	0.3149157833
167	0.3148732957
168	0.3148277103
169	0.3147999354
170	0.3147490866
171	0.3147152509
172	0.314677651
173	0.3146352377
174	0.3146110554
175	0.3145813824
176	0.3145442526
177	0.314496048
178	0.3144611823
179	0.314423529
180	0.3143887194
181	0.3143671369
182	0.3143276476
183	0.3143048093
184	0.3142697856
185	0.3142211175
186	0.3141772095
187	0.3141441968
188	0.3141148675
189	0.3140751164
190	0.314048433
191	0.3140086467
192	0.3139771354
193	0.3139401031
194	0.3139042637
195	0.313857143
196	0.313808071
197	0.3137772561
198	0.3137410374
199	0.3137118621
200	0.3136715465
201	0.3136414432
202	0.3136097249
203	0.3135693277
204	0.3135183506
205	0.3134799954
206	0.3134492818
207	0.3134198186
208	0.3133932779
209	0.3133729897
210	0.3133411145
211	0.3133134109
212	0.3132946948
213	0.3132542688
214	0.3132250477
215	0.3131916137
216	0.3131571832
217	0.31313371
218	0.3131156302
219	0.3130767841
220	0.3130384235
221	0.312998366
222	0.3129535983
223	0.3129249893
224	0.3128937734
225	0.3128634948
226	0.3128366142
227	0.3128131608
228	0.3127738245
229	0.3127375945
230	0.3127049037
231	0.3126783434
232	0.3126559466
233	0.312611347
234	0.3125839286
235	0.3125445894
236	0.3125067389
237	0.3124797503
238	0.3124534404
239	0.3124223079
240	0.3123820631
241	0.3123249466
242	0.3122843135
243	0.3122663002
244	0.3122363742
245	0.3121947259
246	0.3121646681
247	0.3121315537
248	0.3121000498
249	0.3120776155
250	0.3120418928
251	0.3120176305
252	0.311981224
253	0.3119481777
254	0.311925001
255	0.3118865173
256	0.3118520458
257	0.311822233
258	0.3117874904
259	0.3117627036
260	0.3117338155
261	0.311709046
262	0.3116748005
263	0.3116378458
264	0.3116190168
265	0.3115844568
266	0.311550728
267	0.3115227016
268	0.311490958
269	0.3114719679
270	0.3114330748
271	0.3113972272
272	0.3113753362
273	0.3113466317
274	0.3113154522
275	0.3112968635
276	0.3112728438
277	0.3112435292
278	0.3112229507
279	0.3111845777
280	0.3111515099
281	0.3111171629
282	0.3110840858
283	0.3110515594
284	0.31101752
285	0.3109887273
286	0.3109621514
