iter	Passed	Remaining
0	11	11950
1	23	11703
2	32	10959
3	43	10720
4	52	10433
5	62	10362
6	71	10161
7	80	10021
8	90	9976
9	98	9786
10	108	9726
11	117	9659
12	126	9629
13	136	9611
14	144	9507
15	155	9541
16	165	9573
17	173	9466
18	181	9351
19	188	9249
20	195	9116
21	203	9034
22	210	8944
23	217	8837
24	225	8777
25	232	8695
26	239	8631
27	247	8576
28	255	8539
29	262	8484
30	269	8427
31	277	8385
32	284	8346
33	292	8297
34	299	8255
35	307	8225
36	314	8176
37	320	8121
38	328	8088
39	335	8055
40	342	8022
41	350	7992
42	357	7960
43	365	7933
44	372	7907
45	379	7864
46	386	7841
47	394	7820
48	401	7801
49	409	7778
50	417	7759
51	424	7733
52	431	7714
53	439	7695
54	446	7679
55	453	7651
56	460	7619
57	467	7585
58	474	7566
59	482	7555
60	489	7534
61	496	7510
62	502	7479
63	510	7466
64	517	7451
65	525	7436
66	533	7427
67	540	7405
68	547	7388
69	555	7373
70	562	7356
71	569	7337
72	576	7323
73	584	7312
74	591	7296
75	599	7288
76	606	7273
77	613	7250
78	620	7235
79	627	7213
80	634	7199
81	641	7184
82	649	7171
83	656	7160
84	663	7146
85	671	7134
86	677	7112
87	684	7091
88	691	7074
89	697	7057
90	705	7043
91	713	7043
92	730	7128
93	741	7146
94	749	7136
95	756	7125
96	763	7109
97	771	7098
98	778	7083
99	785	7068
100	791	7048
101	799	7035
102	806	7022
103	812	7002
104	820	6990
105	827	6981
106	835	6975
107	842	6958
108	850	6949
109	858	6948
110	867	6945
111	875	6938
112	882	6931
113	890	6922
114	898	6916
115	906	6907
116	914	6899
117	921	6889
118	928	6875
119	936	6867
120	944	6858
121	951	6849
122	959	6841
123	967	6833
124	974	6823
125	982	6814
126	989	6800
127	996	6785
128	1004	6779
129	1011	6769
130	1019	6762
131	1026	6747
132	1033	6738
133	1041	6728
134	1048	6717
135	1056	6708
136	1063	6699
137	1070	6689
138	1078	6680
139	1085	6668
140	1093	6660
141	1100	6649
142	1107	6634
143	1114	6626
144	1122	6617
145	1129	6606
146	1136	6595
147	1143	6585
148	1151	6575
149	1158	6564
150	1164	6550
151	1172	6541
152	1180	6533
153	1187	6526
154	1195	6517
155	1203	6509
156	1210	6497
157	1217	6489
158	1224	6478
159	1231	6467
160	1241	6468
161	1250	6469
162	1260	6471
163	1269	6471
164	1277	6464
165	1285	6456
166	1293	6449
167	1300	6441
168	1308	6433
169	1315	6422
170	1323	6414
171	1330	6405
172	1338	6397
173	1346	6389
174	1353	6382
175	1361	6374
176	1368	6363
177	1376	6356
178	1384	6348
179	1391	6339
180	1398	6329
181	1406	6319
182	1414	6314
183	1422	6306
184	1429	6299
185	1437	6290
186	1444	6282
187	1452	6273
188	1460	6266
189	1467	6257
190	1475	6249
191	1483	6241
192	1491	6234
193	1498	6227
194	1506	6219
195	1514	6210
196	1521	6203
197	1529	6195
198	1537	6187
199	1544	6179
200	1552	6172
201	1560	6163
202	1567	6154
203	1575	6146
204	1582	6137
205	1590	6129
206	1596	6117
207	1604	6108
208	1611	6099
209	1619	6090
210	1626	6082
211	1633	6073
212	1641	6065
213	1649	6057
214	1656	6049
215	1664	6040
216	1671	6032
217	1679	6023
218	1686	6014
